"","Plot_id","SAND","CLAY","SILT","class","mean","sd","max","min","range"
"1",1111,51.0350318471338,3.5828025477707,45.3821656050956,"SaLo",6.44259086839749,7.55347962011167,27.57,-2.15,29.72
"2",1122,53.1001589825119,5.96184419713831,40.9379968203498,"SaLo",10.2632497761862,11.0104256054105,43.6,-1.11,44.71
"3",1133,35.8415841584158,9.10891089108911,55.049504950495,"SiLo",10.0466821844226,8.26307312752962,36.4,-1.46,37.86
"4",1211,48.482428115016,8.58626198083067,42.9313099041534,"Lo",12.7947162041182,11.1462299893506,45.96,-0.89,46.85
"5",1222,29.5607439651761,20.3798971111991,50.0593589236248,"SiLo",11.8137797672337,11.0966219764792,47.24,-1.91,49.15
"6",1233,21.2567110757606,26.8443030423543,51.8989858818851,"SiLo",12.785903312444,11.6845163711352,46.98,-3.79,50.77
"7",1311,28.4,22.2,49.4,"Lo",12.6472515666965,12.4526297359591,51.15,-7.14,58.29
"8",1322,30.622009569378,15.9489633173844,53.4290271132376,"SiLo",9.21898299015219,10.7554284806409,64.91,-5.87,70.78
"9",1333,23.4440246569895,23.6627560151123,52.8932193278982,"SiLo",6.13504207699194,6.35858806330987,21.09,-0.21,21.3
"10",2111,52.4114383269313,8.74946649594537,38.8390951771233,"Lo",9.25450671441361,8.13225930794433,34.37,0.34,34.03
"11",2122,44.6986274119753,11.1398448378755,44.1615277501492,"Lo",12.7304458370636,11.1394328981273,43.6,0.23,43.37
"12",2133,75.4147511493104,2.19868079152508,22.3865680591645,"LoSa",12.5939623992838,11.8543860033531,47.89,-2.96,50.85
"13",2211,46.3220675944334,9.54274353876739,44.1351888667992,"Lo",10.0535094001791,9.44161586103203,37.71,-0.33,38.04
"14",2222,31.184496737196,11.8647419418628,56.9507613209413,"SiLo",9.08617726051925,8.73396169389559,33.22,0.01,33.21
"15",2233,44.2896935933148,10.3461997612415,45.3641066454437,"Lo",13.0714413607878,9.36413673281758,37.38,0.45,36.93
"16",2311,53.9698492462312,10.251256281407,35.7788944723618,"SaLo",4.99276096687556,5.61619697713782,21.19,-1,22.19
"17",3111,41.8467583497053,11.3948919449902,46.7583497053045,"Lo",5.83635631154879,6.073227637608,22.43,-0.1,22.53
"18",3122,57.2819392012716,8.54361215974568,34.1744486389827,"SaLo",8.79820411817368,10.4879256207566,48.02,-0.66,48.68
"19",3133,54.093799682035,8.74403815580286,37.1621621621622,"SaLo",8.48171522363562,10.4744890531045,48.42,-2.73,51.15
"20",3211,31.7043861405969,13.2185059082716,55.0771079511316,"SiLo",12.2254288272158,14.4531552396754,62.28,-3.43,65.71
"21",3222,56.1316051844467,4.58624127617149,39.2821535393819,"SaLo",4.91546105640107,5.54247904857568,18.81,-1.34,20.15
"22",3233,54.9585144211774,7.5069142631371,37.5345713156855,"SaLo",9.20678245299911,10.6781346269781,44.46,-1.23,45.69
"23",3311,46.2686567164179,3.58208955223881,50.1492537313433,"SiLo",6.37741450313339,7.01893717700986,25.71,-0.77,26.48
"24",3322,59.6628537025888,7.22456351595424,33.112582781457,"SaLo",6.94867323187108,7.9041549983045,31.47,-0.33,31.8
"25",3333,62.1931908155186,8.11559778305621,29.6912114014252,"SaLo",12.3688039391226,12.0834453254475,49.36,-3.79,53.15
