"","Plot_id","m_cos_asp"
"1",1111,0.788010753606722
"2",1112,0.615661475325659
"3",1113,0.656059028990507
"4",1121,0.961261695938319
"5",1122,0.342020143325668
"6",1123,-0.866025403784439
"7",1131,-0.945518575599317
"8",1132,-0.629320391049837
"9",1133,-0.961261695938319
"10",1211,-0.987688340595138
"11",1212,0.139173100960066
"12",1213,-0.996194698091746
"13",1221,-0.0348994967025007
"14",1222,-0.656059028990508
"15",1223,-0.3583679495453
"16",1231,-0.898794046299167
"17",1232,-0.309016994374947
"18",1233,-0.951056516295154
"19",1311,-0.866025403784439
"20",1312,-0.996194698091746
"21",1313,-0.956304755963036
"22",1321,-0.809016994374947
"23",1322,-0.309016994374947
"24",1323,-0.798635510047293
"25",1331,0.342020143325668
"26",1332,0.754709580222772
"27",1333,0.996194698091746
"28",2111,0.207911690817759
"29",2112,-0.104528463267653
"30",2113,-0.453990499739547
"31",2121,-0.939692620785908
"32",2122,-0.848048096156426
"33",2123,-0.999847695156391
"34",2131,-0.5
"35",2132,-0.374606593415912
"36",2133,-0.681998360062499
"37",2211,-1
"38",2212,-0.848048096156426
"39",2213,-0.961261695938319
"40",2221,-0.681998360062498
"41",2222,-0.92050485345244
"42",2223,-0.978147600733806
"43",2231,-0.987688340595138
"44",2232,-0.743144825477394
"45",2233,-1
"46",2311,0.939692620785908
"47",2313,0.809016994374947
"48",2323,0.965925826289068
"49",2331,0.90630778703665
"50",2332,0.939692620785908
"51",2333,0.970295726275996
"52",3111,0.559192903470746
"53",3112,0.342020143325668
"54",3113,-1.83697019872103e-16
"55",3121,0.309016994374947
"56",3122,0.5
"57",3123,-1.83697019872103e-16
"58",3131,-0.587785252292473
"59",3132,-0.342020143325669
"60",3133,-0.224951054343865
"61",3211,-0.866025403784439
"62",3212,-0.642787609686539
"63",3213,-0.529919264233205
"64",3221,0.939692620785908
"65",3222,0.882947592858927
"66",3223,0.951056516295154
"67",3231,-0.342020143325669
"68",3232,-0.0174524064372835
"69",3233,-0.342020143325669
"70",3311,-0.292371704722737
"71",3312,0.406736643075801
"72",3313,0.46947156278589
"73",3321,0.342020143325668
"74",3322,0.224951054343865
"75",3323,0.275637355816999
"76",3331,-0.5
"77",3332,-0.587785252292473
"78",3333,-0.374606593415912
