"Plot_id","elev_m","aspect_rad","slope_deg"
"B1113",1987,0.325568154457157,8.35
"B1112",1970,0.469471562785891,8.75
"B1111",1985,0.156434465040231,7.15
"B2221",2191,-0.358367949545301,7.1
"B2222",2194,1,1.9
"B2223",2198,0.707106781186547,1.5
"A3333",1880,-0.453990499739547,5.25
"A3332",1894,-0.469471562785891,13.25
"A3331",1887,-0.999847695156391,10.75
"A2223",1915,0.453990499739547,4.3
"A2222",1913,0.325568154457157,6.85
"A2221",1916,0.374606593415912,4.6
"A1113",1952,0.0523359562429439,24.4
"A1111",1901,0.933580426497202,40.65
"A1112",1976,-0.0174524064372835,22.6
"B3332",2050,-0.694658370458998,21.75
"B3333",2065,0.945518575599317,33.7
"B3331",2041,0.965925826289068,21.7
"C2221",2265,-0.992546151641322,23.85
"C2222",2250,-0.965925826289068,25.2
"C2223",2216,-0.927183854566787,28.85
"C3331",2144,0.453990499739547,31.85
"C3332",2126,0.642787609686539,28.25
"C3333",2160,0.898794046299167,19.75
"D2221",2244,0.965925826289068,5.65
"D2223",2235,0.681998360062498,11.1
"D2222",2229,0.642787609686539,5.85
"D1113",2242,-0.707106781186548,10.5
"D1111",2227,0.984807753012208,24.7
"D1112",2235,0.891006524188368,13.4
"D3332",2218,-0.965925826289068,22.95
"D3333",2240,0.809016994374947,25.75
"D3331",2230,-0.342020143325669,9.55
"C1113",2193,-0.956304755963035,12
"C1111",2202,-0.951056516295154,2.55
"C1112",2200,0.374606593415912,10.6
"A3111",1932,-0.777145961456971,7.8
"A1333",2011,0.469471562785891,33.35
"A1222",1981,-0.4226182617407,5.1
"A2111",1976,-0.104528463267653,3.85
"A2333",1939,-0.258819045102521,12.05
"A3222",1960,0.927183854566787,12.6
"B1222",1998,0.275637355816999,27.6
"B2111",1987,0.743144825477394,3.3
"B2333",2100,0.544639035015027,28.45
"B1333",2022,0.453990499739547,11.45
"B3111",1967,0.669130606358858,2.8
"B3222",2092,-0.258819045102521,23.4
"C1333",2012,-0.945518575599317,8.65
"C3111",2149,0.681998360062498,20.4
"C3222",2178,0.913545457642601,19.75
"C2333",2220,0.984807753012208,12.1
"C2111",2167,-0.515038074910054,32.15
"C1222",2059,0.342020143325668,27.4
