"","plot_id","SAND","CLAY","SILT","class"
"1","3232",42.1063031021537,8.29875518672199,49.5949417111243,"Lo"
"2","3311",46.2686567164179,3.58208955223881,50.1492537313433,"SiLo"
"3","3233",54.9585144211774,7.5069142631371,37.5345713156855,"SaLo"
"4","3321",64.7803719825881,0.593589236248516,34.6260387811634,"SaLo"
"5","3223",39.351481184948,17.013610888711,43.6349079263411,"Lo"
"6","3333",62.1931908155186,8.11559778305621,29.6912114014252,"SaLo"
"7","3332",45.0199203187251,9.9601593625498,45.0199203187251,"Lo"
"8","3322",59.6628537025888,7.22456351595424,33.112582781457,"SaLo"
"9","3231",50.3179650238474,6.95548489666137,42.7265500794913,"SaLo"
"10","3313",62.0814844695442,4.43727309398951,33.4812424364663,"SaLo"
"11","3213",50.5733491498616,4.94266508501384,44.4839857651246,"SaLo"
"12","2332",37.7609862795784,25.8500695963412,36.3889441240803,"Lo"
"13","3132",52.9644268774704,8.89328063241107,38.1422924901186,"SaLo"
"14","3131",31.1163895486936,11.8764845605701,57.0071258907363,"SiLo"
"15","3222",56.1316051844467,4.58624127617149,39.2821535393819,"SaLo"
"16","3122",57.2819392012716,8.54361215974568,34.1744486389827,"SaLo"
"17","3331",51.3026052104208,7.01402805611222,41.6833667334669,"SaLo"
"18","3212",46.7408585055644,7.94912559618442,45.3100158982512,"Lo"
"19","2232",40.8945686900958,11.9808306709265,47.1246006389776,"Lo"
"20","3211",31.7043861405969,13.2185059082716,55.0771079511316,"SiLo"
"21","3121",57.9831932773109,6.00240096038415,36.0144057623049,"SaLo"
"22","3221",52.3428113736484,7.00841009211053,40.6487785342411,"SaLo"
"23","3323",59.3528018942384,4.53827940015785,36.1089187056038,"SaLo"
"24","3133",54.093799682035,8.74403815580286,37.1621621621622,"SaLo"
"25","3112",52.3241954707986,4.96622963845848,42.7095748907429,"SaLo"
"26","3113",57.0943923368589,4.78946318100179,38.1161444821393,"SaLo"
"27","3111",41.8467583497053,11.3948919449902,46.7583497053045,"Lo"
"28","2323",32.9876346230554,18.1491822895891,48.8631830873554,"Lo"
"29","2131",35.750886874261,28.1828931809223,36.0662199448167,"ClLo"
"30","2213",34.5178678378918,13.1762826911559,52.3058494709523,"SiLo"
"31","2311",53.9698492462312,10.251256281407,35.7788944723618,"SaLo"
"32","2132",26.3877715205149,23.1295253419147,50.4827031375704,"SiLo"
"33","2223",42.6278836509529,12.0361083249749,45.3360080240722,"Lo"
"34","2222",31.184496737196,11.8647419418628,56.9507613209413,"SiLo"
"35","2212",40.9869083585096,11.0775427995972,47.9355488418933,"Lo"
"36","2211",46.3220675944334,9.54274353876739,44.1351888667992,"Lo"
"37","2113",36.6533864541833,18.1274900398406,45.2191235059761,"Lo"
"38","2221",44.4666400319616,8.19017179384738,47.343188174191,"Lo"
"39","2133",75.4147511493104,2.19868079152508,22.3865680591645,"LoSa"
"40","2112",50.2674856350307,8.71805032692689,41.0144640380424,"Lo"
"41","2122",44.6986274119753,11.1398448378755,44.1615277501492,"Lo"
"42","2111",52.4114383269313,8.74946649594537,38.8390951771233,"Lo"
"43","2121",54.3005388146079,16.1644382358811,29.5350229495111,"SaLo"
"44","1311",28.4,22.2,49.4,"Lo"
"45","2123",41.1299881469775,12.0505728960885,46.819438956934,"Lo"
"46","1331",53.6943829273203,7.04650694584256,39.2591101268371,"SaLo"
"47","1323",72.1835883171071,4.56983906218955,23.2465726207034,"SaLo"
"48","1333",23.4440246569895,23.6627560151123,52.8932193278982,"SiLo"
"49","1223",38.9947304418322,11.7551682205107,49.2501013376571,"Lo"
"50","1233",21.2567110757606,26.8443030423543,51.8989858818851,"SiLo"
"51","1232",37.1519490851233,16.5075576770088,46.3404932378679,"Lo"
"52","1221",45.2706722189173,7.53519730319254,47.1941304778901,"Lo"
"53","1222",29.5607439651761,20.3798971111991,50.0593589236248,"SiLo"
"54","1231",45.0527573163448,18.9130001990842,36.034242484571,"Lo"
"55","1133",35.8415841584158,9.10891089108911,55.049504950495,"SiLo"
"56","1313",22.6012367843607,22.9403550768003,54.458408138839,"SiLo"
"57","1132",37.3522458628842,13.1993695823483,49.4483845547675,"Lo"
"58","1211",48.482428115016,8.58626198083067,42.9313099041534,"Lo"
"59","1212",39.1217564870259,9.58083832335329,51.2974051896208,"SiLo"
"60","1123",50.2871855813032,16.0427807486631,33.6700336700337,"Lo"
"61","1111",51.0350318471338,3.5828025477707,45.3821656050956,"SaLo"
"62","1121",51.5577889447236,16.2814070351759,32.1608040201005,"Lo"
"63","1122",53.1001589825119,5.96184419713831,40.9379968203498,"SaLo"
"64","1112",34.6733668341708,15.0753768844221,50.251256281407,"SiLo"
"65","1113",47.4210315873651,14.7940823670532,37.7848860455818,"Lo"
"66","1332",22.3013048635824,25.8995650454725,51.7991300909451,"SiLo"
"67","1131",47.1383147853736,6.95548489666136,45.906200317965,"SaLo"
"68","1321",23.0924505450141,17.1578522406136,59.7496972143722,"SiLo"
"69","2231",44.4664815549385,9.91669972233241,45.6168187227291,"Lo"
"70","2313",38.1361005787268,12.3727798842546,49.4911195370186,"Lo"
"71","2331",23.0615905919873,29.4997010165437,47.438708391469,"ClLo"
"72","1322",30.622009569378,15.9489633173844,53.4290271132376,"SiLo"
"73","1312",17.1149631400678,34.8675034867504,48.0175333731819,"SiClLo"
"74","2233",44.2896935933148,10.3461997612415,45.3641066454437,"Lo"
"75","1213",32.6021934197408,24.9252243270189,42.4725822532403,"Lo"
"76","3312",41.7202572347267,9.2443729903537,49.0353697749196,"Lo"
