"","plot_id","first","second","third","fourth","elev","aspect","slope","SAND","CLAY","SILT","class","mean","sd","max","min","MAT","MA_sd"
"1","1111",1,1,1,1,1820,0.788010753606722,31.35,51.0350318471338,3.5828025477707,45.3821656050956,"SaLo",6.44273101719198,7.55414879909103,27.57,-2.15,6.67699590373784,7.34695321309947
"2","1122",1,1,2,2,1934,0.342020143325668,24.8,53.1001589825119,5.96184419713831,40.9379968203498,"SaLo",10.2633202005731,11.0114103704112,43.6,-1.11,10.6003809923835,10.095293760808
"3","1133",1,1,3,3,1831,-0.961261695938319,25.45,35.8415841584158,9.10891089108911,55.049504950495,"SiLo",10.0462088108883,8.26373737961386,36.4,-1.46,10.4499013816884,7.74213152019779
"4","1211",1,2,1,1,1910,-0.987688340595138,24.7,48.482428115016,8.58626198083067,42.9313099041534,"Lo",12.7944251432665,11.1472069479092,45.96,-0.89,13.2396533218126,10.2608371292264
"5","1222",1,2,2,2,1858,-0.656059028990508,32.25,29.5607439651761,20.3798971111991,50.0593589236248,"SiLo",11.8133989971347,11.0975792291748,47.24,-1.91,12.1779816748272,9.8163266429448
"6","1233",1,2,3,3,1808,-0.951056516295154,28.6,21.2567110757606,26.8443030423543,51.8989858818851,"SiLo",12.7857306590258,11.6855556365694,46.98,-3.79,13.188395609319,10.3062864127117
"7","1311",1,3,1,1,1785,-0.866025403784439,34.4,28.4,22.2,49.4,"Lo",12.6463019340974,12.4535426647708,51.15,-7.14,13.0692397513441,10.0260345703903
"8","1322",1,3,2,2,1745,-0.309016994374947,24.8,30.622009569378,15.9489633173844,53.4290271132376,"SiLo",9.2189899713467,10.7563916550635,64.91,-5.87,9.54202893385177,8.66553392606704
"9","1333",1,3,3,3,1767,0.996194698091746,40.95,23.4440246569895,23.6627560151123,52.8932193278982,"SiLo",6.13514684813754,6.35915267640914,21.09,-0.21,6.32961753952253,6.28241460316031
"10","2111",2,1,1,1,1845,0.207911690817759,40.2,52.4114383269313,8.74946649594537,38.8390951771233,"Lo",9.25432664756447,8.13297644588258,34.37,0.34,9.54022243423579,7.68798840656552
"11","2122",2,1,2,2,1954,-0.848048096156426,27,44.6986274119753,11.1398448378755,44.1615277501492,"Lo",12.7301253581662,11.1404047246992,43.6,0.23,13.1899527489759,10.7056777331947
"12","2133",2,1,3,3,1860,-0.681998360062499,26.4,75.4147511493104,2.19868079152508,22.3865680591645,"LoSa",12.5940830945559,11.8554441741145,47.89,-2.96,13.0041263160842,10.5788459225242
"13","2211",2,2,1,1,1976,-1,16.35,46.3220675944334,9.54274353876739,44.1351888667992,"Lo",10.0535422636103,9.44246107203551,37.71,-0.33,10.3793124479967,8.82066472561015
"14","2222",2,2,2,2,1953,-0.92050485345244,12.35,31.184496737196,11.8647419418628,56.9507613209413,"SiLo",9.08633954154728,8.73473543053347,33.22,0.01,9.35309374199949,8.31516212772265
"15","2233",2,2,3,3,1895,-1,32.75,44.2896935933148,10.3461997612415,45.3641066454437,"Lo",13.0711138968481,9.36494334374497,37.38,0.45,13.459988031234,8.94581627215042
"16","2311",2,3,1,1,1819,0.939692620785908,39.55,53.9698492462312,10.251256281407,35.7788944723618,"SaLo",4.99282772206304,5.61669771170889,21.19,-1,5.13494514048899,5.44746361341326
"17","3111",3,1,1,1,1894,0.559192903470746,28.35,41.8467583497053,11.3948919449902,46.7583497053045,"Lo",5.83633416905444,6.07377129140044,22.43,-0.1,6.03949869191628,5.9495998072021
"18","3122",3,1,2,2,2005,0.5,30.65,57.2819392012716,8.54361215974568,34.1744486389827,"SaLo",8.79876611747851,10.488780748167,48.02,-0.66,9.07229738303251,9.25645448245545
"19","3133",3,1,3,3,1937,-0.224951054343865,29.1,54.093799682035,8.74403815580286,37.1621621621622,"SaLo",8.48177713933922,10.4755630740297,48.42,-2.73,8.75876085955484,9.20137525708744
"20","3211",3,2,1,1,2052,-0.866025403784439,24.7,31.7043861405969,13.2185059082716,55.0771079511316,"SiLo",12.225922277937,14.454402521616,62.28,-3.43,12.6401470894137,11.2677488639075
"21","3222",3,2,2,2,2077,0.882947592858927,29.65,56.1316051844467,4.58624127617149,39.2821535393819,"SaLo",4.91540293696275,5.54297369534776,18.81,-1.34,5.13473920330901,5.52873410222021
"22","3233",3,2,3,3,2080,-0.342020143325669,22.5,54.9585144211774,7.5069142631371,37.5345713156855,"SaLo",9.20703796561605,10.6790738170749,44.46,-1.23,9.56461771953405,9.73637547422183
"23","3311",3,3,1,1,1892,-0.292371704722737,24.2,46.2686567164179,3.58208955223881,50.1492537313433,"SiLo",6.37756267908309,7.01955701185455,25.71,-0.77,6.59356708029314,6.64603825371748
"24","3322",3,3,2,2,2029,0.224951054343865,26.55,59.6628537025888,7.22456351595424,33.112582781457,"SaLo",6.9486676217765,7.90486283252643,31.47,-0.33,7.23628521425371,7.46710110060056
"25","3333",3,3,3,3,1988,-0.374606593415912,19.05,62.1931908155186,8.11559778305621,29.6912114014252,"SaLo",12.3685906160458,12.0845169235697,49.36,-3.79,12.7796899761585,10.8687451271123
