"","plot_id","first","second","third","fourth","elev","aspect","slope","SAND","CLAY","SILT","class"
"1","1111",1,1,1,1,1820,0.788010753606722,31.35,51.0350318471338,3.5828025477707,45.3821656050956,"SaLo"
"2","1112",1,1,1,2,1864,0.615661475325659,36.85,34.6733668341708,15.0753768844221,50.251256281407,"SiLo"
"3","1113",1,1,1,3,1876,0.656059028990507,37.8,47.4210315873651,14.7940823670532,37.7848860455818,"Lo"
"4","1121",1,1,2,1,1890,0.961261695938319,32.6,51.5577889447236,16.2814070351759,32.1608040201005,"Lo"
"5","1122",1,1,2,2,1934,0.342020143325668,24.8,53.1001589825119,5.96184419713831,40.9379968203498,"SaLo"
"6","1123",1,1,2,3,1900,-0.866025403784439,29.3,50.2871855813032,16.0427807486631,33.6700336700337,"Lo"
"7","1131",1,1,3,1,1873,-0.945518575599317,30.1,47.1383147853736,6.95548489666136,45.906200317965,"SaLo"
"8","1132",1,1,3,2,1862,-0.629320391049837,31.8,37.3522458628842,13.1993695823483,49.4483845547675,"Lo"
"9","1133",1,1,3,3,1831,-0.961261695938319,25.45,35.8415841584158,9.10891089108911,55.049504950495,"SiLo"
"10","1211",1,2,1,1,1910,-0.987688340595138,24.7,48.482428115016,8.58626198083067,42.9313099041534,"Lo"
"11","1212",1,2,1,2,1899,0.139173100960066,26.3,39.1217564870259,9.58083832335329,51.2974051896208,"SiLo"
"12","1213",1,2,1,3,1878,-0.996194698091746,26.4,32.6021934197408,24.9252243270189,42.4725822532403,"Lo"
"13","1221",1,2,2,1,1868,-0.0348994967025007,28.05,45.2706722189173,7.53519730319254,47.1941304778901,"Lo"
"14","1222",1,2,2,2,1858,-0.656059028990508,32.25,29.5607439651761,20.3798971111991,50.0593589236248,"SiLo"
"15","1223",1,2,2,3,1828,-0.3583679495453,35.25,38.9947304418322,11.7551682205107,49.2501013376571,"Lo"
"16","1231",1,2,3,1,1849,-0.898794046299167,26.2,45.0527573163448,18.9130001990842,36.034242484571,"Lo"
"17","1232",1,2,3,2,1830,-0.309016994374947,32.1,37.1519490851233,16.5075576770088,46.3404932378679,"Lo"
"18","1233",1,2,3,3,1808,-0.951056516295154,28.6,21.2567110757606,26.8443030423543,51.8989858818851,"SiLo"
"19","1311",1,3,1,1,1785,-0.866025403784439,34.4,28.4,22.2,49.4,"Lo"
"20","1312",1,3,1,2,1791,-0.996194698091746,31.5,17.1149631400678,34.8675034867504,48.0175333731819,"SiClLo"
"21","1313",1,3,1,3,1738,-0.956304755963036,32.75,22.6012367843607,22.9403550768003,54.458408138839,"SiLo"
"22","1321",1,3,2,1,1787,-0.809016994374947,33.3,23.0924505450141,17.1578522406136,59.7496972143722,"SiLo"
"23","1322",1,3,2,2,1745,-0.309016994374947,24.8,30.622009569378,15.9489633173844,53.4290271132376,"SiLo"
"24","1323",1,3,2,3,1724,-0.798635510047293,32.05,72.1835883171071,4.56983906218955,23.2465726207034,"SaLo"
"25","1331",1,3,3,1,1711,0.342020143325668,4.9,53.6943829273203,7.04650694584256,39.2591101268371,"SaLo"
"26","1332",1,3,3,2,1742,0.754709580222772,42.1,22.3013048635824,25.8995650454725,51.7991300909451,"SiLo"
"27","1333",1,3,3,3,1767,0.996194698091746,40.95,23.4440246569895,23.6627560151123,52.8932193278982,"SiLo"
"28","2111",2,1,1,1,1845,0.207911690817759,40.2,52.4114383269313,8.74946649594537,38.8390951771233,"Lo"
"29","2112",2,1,1,2,1895,-0.104528463267653,33.6,50.2674856350307,8.71805032692689,41.0144640380424,"Lo"
"30","2113",2,1,1,3,1876,-0.453990499739547,27.35,36.6533864541833,18.1274900398406,45.2191235059761,"Lo"
"31","2121",2,1,2,1,1931,-0.939692620785908,17.1,54.3005388146079,16.1644382358811,29.5350229495111,"SaLo"
"32","2122",2,1,2,2,1954,-0.848048096156426,27,44.6986274119753,11.1398448378755,44.1615277501492,"Lo"
"33","2123",2,1,2,3,1913,-0.999847695156391,30.3,41.1299881469775,12.0505728960885,46.819438956934,"Lo"
"34","2131",2,1,3,1,1856,-0.5,30.5,35.750886874261,28.1828931809223,36.0662199448167,"ClLo"
"35","2132",2,1,3,2,1883,-0.374606593415912,26.8,26.3877715205149,23.1295253419147,50.4827031375704,"SiLo"
"36","2133",2,1,3,3,1860,-0.681998360062499,26.4,75.4147511493104,2.19868079152508,22.3865680591645,"LoSa"
"37","2211",2,2,1,1,1976,-1,16.35,46.3220675944334,9.54274353876739,44.1351888667992,"Lo"
"38","2212",2,2,1,2,1970,-0.848048096156426,21.65,40.9869083585096,11.0775427995972,47.9355488418933,"Lo"
"39","2213",2,2,1,3,1951,-0.961261695938319,20.9,34.5178678378918,13.1762826911559,52.3058494709523,"SiLo"
"40","2221",2,2,2,1,1950,-0.681998360062498,18.5,44.4666400319616,8.19017179384738,47.343188174191,"Lo"
"41","2222",2,2,2,2,1953,-0.92050485345244,12.35,31.184496737196,11.8647419418628,56.9507613209413,"SiLo"
"42","2223",2,2,2,3,1931,-0.978147600733806,23.7,42.6278836509529,12.0361083249749,45.3360080240722,"Lo"
"43","2231",2,2,3,1,1922,-0.987688340595138,27.15,44.4664815549385,9.91669972233241,45.6168187227291,"Lo"
"44","2232",2,2,3,2,1915,-0.743144825477394,31.25,40.8945686900958,11.9808306709265,47.1246006389776,"Lo"
"45","2233",2,2,3,3,1895,-1,32.75,44.2896935933148,10.3461997612415,45.3641066454437,"Lo"
"46","2311",2,3,1,1,1819,0.939692620785908,39.55,53.9698492462312,10.251256281407,35.7788944723618,"SaLo"
"47","2313",2,3,1,3,1867,0.809016994374947,34.45,38.1361005787268,12.3727798842546,49.4911195370186,"Lo"
"48","2323",2,3,2,3,1899,0.965925826289068,40.5,32.9876346230554,18.1491822895891,48.8631830873554,"Lo"
"49","2331",2,3,3,1,1946,0.90630778703665,39.75,23.0615905919873,29.4997010165437,47.438708391469,"ClLo"
"50","2332",2,3,3,2,1945,0.939692620785908,25.6,37.7609862795784,25.8500695963412,36.3889441240803,"Lo"
"51","3111",3,1,1,1,1894,0.559192903470746,28.35,41.8467583497053,11.3948919449902,46.7583497053045,"Lo"
"52","3112",3,1,1,2,1927,0.342020143325668,30.1,52.3241954707986,4.96622963845848,42.7095748907429,"SaLo"
"53","3113",3,1,1,3,1919,-1.83697019872103e-16,17.9,57.0943923368589,4.78946318100179,38.1161444821393,"SaLo"
"54","3121",3,1,2,1,1962,0.309016994374947,30.8,57.9831932773109,6.00240096038415,36.0144057623049,"SaLo"
"55","3122",3,1,2,2,2005,0.5,30.65,57.2819392012716,8.54361215974568,34.1744486389827,"SaLo"
"56","3131",3,1,3,1,1921,-0.587785252292473,29.85,31.1163895486936,11.8764845605701,57.0071258907363,"SiLo"
"57","3132",3,1,3,2,1970,-0.342020143325669,29.4,52.9644268774704,8.89328063241107,38.1422924901186,"SaLo"
"58","3133",3,1,3,3,1937,-0.224951054343865,29.1,54.093799682035,8.74403815580286,37.1621621621622,"SaLo"
"59","3211",3,2,1,1,2052,-0.866025403784439,24.7,31.7043861405969,13.2185059082716,55.0771079511316,"SiLo"
"60","3212",3,2,1,2,2077,-0.64278760968654,11.45,46.7408585055644,7.94912559618442,45.3100158982512,"Lo"
"61","3213",3,2,1,3,2051,-0.529919264233205,25.7,50.5733491498616,4.94266508501384,44.4839857651246,"SaLo"
"62","3221",3,2,2,1,2087,0.939692620785908,30.65,52.3428113736484,7.00841009211053,40.6487785342411,"SaLo"
"63","3222",3,2,2,2,2077,0.882947592858927,29.65,56.1316051844467,4.58624127617149,39.2821535393819,"SaLo"
"64","3223",3,2,2,3,2108,0.951056516295154,4.65,39.351481184948,17.013610888711,43.6349079263411,"Lo"
"65","3231",3,2,3,1,2059,-0.342020143325669,27.25,50.3179650238474,6.95548489666137,42.7265500794913,"SaLo"
"66","3232",3,2,3,2,2107,-0.0174524064372835,18.2,42.1063031021537,8.29875518672199,49.5949417111243,"Lo"
"67","3233",3,2,3,3,2080,-0.342020143325669,22.5,54.9585144211774,7.5069142631371,37.5345713156855,"SaLo"
"68","3311",3,3,1,1,1892,-0.292371704722737,24.2,46.2686567164179,3.58208955223881,50.1492537313433,"SiLo"
"69","3312",3,3,1,2,1955,0.406736643075801,41.95,41.7202572347267,9.2443729903537,49.0353697749196,"Lo"
"70","3313",3,3,1,3,1956,0.46947156278589,32.85,62.0814844695442,4.43727309398951,33.4812424364663,"SaLo"
"71","3321",3,3,2,1,1988,0.342020143325668,25.6,64.7803719825881,0.593589236248516,34.6260387811634,"SaLo"
"72","3322",3,3,2,2,2029,0.224951054343865,26.55,59.6628537025888,7.22456351595424,33.112582781457,"SaLo"
"73","3323",3,3,2,3,2031,0.275637355816999,19.9,59.3528018942384,4.53827940015785,36.1089187056038,"SaLo"
"74","3331",3,3,3,1,1979,-0.5,31.6,51.3026052104208,7.01402805611222,41.6833667334669,"SaLo"
"75","3332",3,3,3,2,2026,-0.587785252292473,13.65,45.0199203187251,9.9601593625498,45.0199203187251,"Lo"
"76","3333",3,3,3,3,1988,-0.374606593415912,19.05,62.1931908155186,8.11559778305621,29.6912114014252,"SaLo"
