"","x"
"1","acer grandidentatum"
"2","aconitum columbianum"
"3","agoseris glauca"
"4","agoseris sp."
"5","aster engelmanii"
"6","astragalus alpinus"
"7","betula occidentalis"
"8","carex sp."
"9","circium arvense"
"10","delphinium nuttallianum"
"11","draba sp."
"12","elymus spicata"
"13","erigeron sp."
"14","eriogonum caespitosa"
"15","erysimum capitatum"
"16","frasera speciosa"
"17","geranium richardsonii"
"18","ipomopsis aggregata"
"19","lomatium ambiguum"
"20","mahonia repens"
"21","mainthemum racemosum"
"22","mainthemum stellatum"
"23","mertensia oblongifolia"
"24","mitella stauropetala"
"25","myosotis scorpioides"
"26","nemophila parviflora"
"27","osmorhiza occidentalis"
"28","pascopyrum smithii"
"29","paxistima myrsinitis"
"30","penstemon compactus"
"31","physocarpous malvaceus"
"32","populous tremuloides"
"33","pseudotsuga menziesii"
"34","ranunculus ranunculinus"
"35","salix exigua"
"36","senecio serra"
"37","sheperdia canadensis"
"38","white flowered brassica"
