Species,whole plant woodiness,whole plant vegetative phenology,whole plant growth form diversity,whole plant growth form,flower color,life history,growth form,underground,fruit type,dispersule syndrome,extra features,flower color,habitat,disturbed areas?,origin,flower start,flower end,other
Alyssum desertorum,,,Herb,Herb,,annual,herb,,silicle,,,pale yellow,valleys-foothills,1,Eurasia,April,June,
Tragopogon dubius,herbaceous,,Herb,Herb,Yellow,annual-biennial-perennial,herb,taproot,achene,pappus-plumose bristles,milky juice,yellow,valleys-foothills,1,Europe,May,September,
Bromus tectorum,herbaceous,,Herb,grass-Herb,,annual,grass,,caryopsis,,,,dry-sagebrush zone,1,Eurasia,May,July,
Lactuca serriola,herbaceous,,Herb,Herb,,annual-biennial,herb,no rhizomes,achene,pappus-capillary bristles,milky juice,yellow,valleys-foothills,1,native-Europe,July,September,
Poa bulbosa,herbaceous,,Herb,Herb,Yellow,perennial,grass,bubils-culms from small bulb,caryopsis,,,,pastures-low to middle elevations,1,Eurasia-Africa,April,July,
Crepis acuminata,,,Herb,Herb,Yellow,perennial,herb,taproot,achene,pappus-capillary bristles,milky juice,yellow,canyons-foothills-dry-rocky slopes,0,,June,July,many polyploid apomicts
Symphoricarpous oreophilus,,,Shrub,Shrub,White,perennial,shrub,,berrylike,,,pink-white,foothills-canyons-<9000ft-sagebrush to wooded areas,0,,May,August,
Poa pratensis,herbaceous,,Tree_Herb,grass-sedge-Herb,Yellow,perennial,grass,long rhizomatous,caryopsis,,,,moist to moderately dry areas almost anywhere including Antarctica-lawngrass,1,not native,May,September,
Pseudoroegneria spicata,herbaceous,,Herb,grass-per grass-bunchgrass-Herb,Yellow,,,,,,,,,,,,,
Artemesia tridentata,woody,evergreen,,shrub,Yellow,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,BIEN traits,,,,,Vascular plants of Northern Utah,,,,,,,,,,,,
