"","maximum_height","seed_mass","species"
"1",0.461538462,0.146208383,"achillea_millefolium"
"2",NA,0.756,"agoseris_heterophylla"
"3",10,5.483855104,"amelanchier_alnifolia"
"4",NA,NA,"artemisia_tridentata"
"5",NA,NA,"astragalus_alpinus"
"6",1.3,5.698778198,"bromus_carinatus"
"7",NA,NA,"bromus_catharticus"
"8",NA,NA,"bromus_inermis"
"9",0.884210526,3.026209351,"bromus_tectorum"
"10",1.714285714,2.802348142,"cirsium_vulgare"
"11",0.291666667,0.651074866,"claytonia_perfoliata"
"12",0.4,1.641347637,"collinsia_parviflora"
"13",NA,NA,"collomia_grandiflora"
"14",0.276923077,NA,"cystopteris_fragilis"
"15",1.8,4.244005223,"elymus_glaucus"
"16",0.918058124,3.814083821,"elymus_repens"
"17",NA,NA,"epilobium_angustifolium"
"18",0.257142857,2.703661199,"erodium_cicutarium"
"19",0.15,0.460685055,"fragaria_virginiana"
"20",0.571428571,6.3147643505,"galium_aparine"
"21",NA,NA,"galium_boreale"
"22",NA,NA,"isatis_tinctoria"
"23",0.3,0.294366433,"koeleria_macrantha"
"24",1.5,0.483645737,"lactuca_serriola"
"25",1,34.46429498,"maianthemum_racemosum"
"26",12,22.35872906,"malus_pumila"
"27",NA,NA,"mentha_arvensis"
"28",0.6,0.573100316,"poa_bulbosa"
"29",0.461538462,0.282177066,"poa_pratensis"
"30",1.2,0.3549066515,"poa_secunda"
"31",10,79.62817948,"prunus_virginiana"
"32",0.409090909,0.414710371,"stellaria_media"
"33",NA,NA,"taraxacum_officinalis"
"34",NA,NA,"tragopogon_pratensis"
"35",NA,NA,"verbascum_thapsus"
"36",0.461538462,12.64809333,"vicia_americana"
