Date,Recorder,Plot_id,Notes
2019-06-24,Elizabeth Simpson,B1113,
2019-06-24,Elizabeth Simpson,B1112,
2019-06-24,Elizabeth Simpson,B1111,temp sensor installed
2019-06-24,Elizabeth Simpson,B2221,
2019-06-24,Elizabeth Simpson,B2222,temp sensor installed
2019-06-24,Elizabeth Simpson,B2223,
2019-06-25,Elizabeth Simpson,A3333,temp sensor installed
2019-06-25,Elizabeth Simpson,A3332,
2019-06-25,Elizabeth Simpson,A3331,
2019-06-25,Elizabeth Simpson,A2223,
2019-06-25,Elizabeth Simpson,A2222,temp sensor installed below bottom left corner due to dense shrub
2019-06-25,Elizabeth Simpson,A2221,
2019-06-27,Elizabeth Simpson,A1113,
2019-06-27,Elizabeth Simpson,A1111,temp sensor installed in horizontal line with bottom right corner due to steepness below
2019-06-27,Elizabeth Simpson,A1112,
2019-06-27,Elizabeth Simpson,B3332,collected at 1 cubit diagonal to top right due to rock-6cm depth due to rocky soil
2019-06-27,Elizabeth Simpson,B3333,temp sensor installed
2019-06-27,Elizabeth Simpson,B3331,
2019-06-28,Elizabeth Simpson,C2221,
2019-06-28,Elizabeth Simpson,C2222,temp sensor installed
2019-06-28,Elizabeth Simpson,C2223,
2019-06-28,Elizabeth Simpson,C3331,
2019-06-28,Elizabeth Simpson,C3332,
2019-06-28,Elizabeth Simpson,C3333,temp sensor installed-soil collected at 2 cubits in line with top right bc of rocks at all other options
2019-07-10,Elizabeth Simpson,D2221,
2019-07-10,Elizabeth Simpson,D2223,
2019-07-10,Elizabeth Simpson,D2222,temp sensor installed
2019-07-10,Elizabeth Simpson,D1113,
2019-07-10,Elizabeth Simpson,D1111,temp sensor installed-soil collected 1 cubit above top right corner due to logs
2019-07-10,Elizabeth Simpson,D1112,soil collected 1 cubit above top right corner due to logs
2019-07-11,Elizabeth Simpson,D3332,soil collected 1 cubit above top right corner due to dense sticks
2019-07-11,Elizabeth Simpson,D3333,temp sensor installed-soil collected at 1 cubit diagonal from upper right due to tres
2019-07-11,Elizabeth Simpson,D3331,
2019-07-11,Elizabeth Simpson,C1113,
2019-07-11,Elizabeth Simpson,C1111,temp sensor installed
2019-07-11,Elizabeth Simpson,C1112,
2019-07-12,Elizabeth Simpson,A3111,temp sensor installed
2019-07-12,Elizabeth Simpson,A1333,temp sensor installed
2019-07-12,Elizabeth Simpson,A1222,temp sensor installed
2019-07-12,Elizabeth Simpson,A2111,temp sensor installed
2019-07-12,Elizabeth Simpson,A2333,temp sensor installed
2019-07-12,Elizabeth Simpson,A3222,temp sensor installed
2019-07-15,Elizabeth Simpson,B1222,temp sensor installed - soil collected 1 cubit above top right corner due to logs
2019-07-15,Elizabeth Simpson,B2111,temp sensor installed
2019-07-15,Elizabeth Simpson,B2333,temp sensor installed
2019-07-15,Elizabeth Simpson,B1333,temp sensor installed
2019-07-15,Elizabeth Simpson,B3111,temp sensor installed
2019-07-15,Elizabeth Simpson,B3222,temp sensor installed
2019-09-12,Elizabeth Simpson,C1333,temp sensor installed - soil collected 1 cubit above top right corner
2019-09-12,Elizabeth Simpson,C3111,temp sensor installed
2019-09-12,Elizabeth Simpson,C3222,temp sensor installed
1019-09-13,Elizabeth Simpson,C2333,temp sensor installed
1019-09-13,Elizabeth Simpson,C2111,temp sensor installed
1019-09-13,Elizabeth Simpson,C1222,temp sensor installed
